"Dose","Delta"
"0 mg/kg",28.20350649566344
"0 mg/kg",26.261151662611493
"0 mg/kg",-22.67150920494279
"0 mg/kg",19.52367504471426
"0 mg/kg",37.994367576833646
"0 mg/kg",59.92324561403518
"0 mg/kg",46.42126789366053
"0 mg/kg",29.252420506851536
"0 mg/kg",8.004027718178676
"0 mg/kg",-8.92729439809294
"0 mg/kg",39.85021149498701
"0 mg/kg",5.9678546470998715
"0 mg/kg",-2.867578645646388
"0 mg/kg",10.707830284637957
"0 mg/kg",-11.174965809552367
"1 mg/kg",50.83333333333335
"1 mg/kg",54.82707755625912
"1 mg/kg",58.912722844145
"1 mg/kg",72.08616321761201
"1 mg/kg",32.93397620418977
"1 mg/kg",41.318149618088576
"1 mg/kg",34.33359603170923
"1 mg/kg",53.20386435331233
"1 mg/kg",29.030198608534835
"1 mg/kg",45.62277580071168
"1 mg/kg",71.38124071746824
"1 mg/kg",26.164910361131305
"1 mg/kg",71.50449482670888
"1 mg/kg",26.235412764731397
"1 mg/kg",25.556815516398224
"5 mg/kg",11.504811898512605
"5 mg/kg",5.870343920824449
"5 mg/kg",32.30600575535984
"5 mg/kg",31.53674832962136
"5 mg/kg",16.90591419899926
"5 mg/kg",30.42276422764231
"5 mg/kg",12.30840675039399
"5 mg/kg",48.62385321100918
"5 mg/kg",68.77876367568227
"5 mg/kg",32.28032920902355
"5 mg/kg",26.762400265893447
"5 mg/kg",43.2084652815324
"5 mg/kg",39.45181416230793
"5 mg/kg",25.64735877619322
"5 mg/kg",41.81872794172862
