"Dose","Delta","Time_immobile","Distance","Speed"
"0 mg/kg",28.20350649566344,6.84,81.062,4.5
"0 mg/kg",26.261151662611493,0.511666666666667,84.575,4.7
"0 mg/kg",-22.67150920494279,1.32666666666667,60.626,3.4
"0 mg/kg",19.52367504471426,1.17666666666667,64.903,3.6
"0 mg/kg",37.994367576833646,2.29166666666667,106.691,5.9
"0 mg/kg",59.92324561403518,0.78,96.874,5.4
"0 mg/kg",46.42126789366053,2.49166666666667,102.726,5.7
"0 mg/kg",29.252420506851536,1.33166666666667,175.992,9.8
"0 mg/kg",8.004027718178676,2.45333333333333,89.548,5.0
"0 mg/kg",-8.92729439809294,7.42833333333333,42.488,2.4
"0 mg/kg",39.85021149498701,3.68333333333333,23.267,1.7
"0 mg/kg",5.9678546470998715,3.51333333333333,127.609,7.1
"0 mg/kg",-2.867578645646388,6.20666666666667,30.028,1.8
"0 mg/kg",10.707830284637957,3.20333333333333,26.803,1.6
"0 mg/kg",-11.174965809552367,5.325,72.354,8.4
"1 mg/kg",50.83333333333335,0.741666666666667,100.021,5.6
"1 mg/kg",54.82707755625912,13.615,227.502,4.4
"1 mg/kg",58.912722844145,0.808333333333333,66.957,3.7
"1 mg/kg",72.08616321761201,2.05166666666667,85.904,4.8
"1 mg/kg",32.93397620418977,1.075,79.641,4.5
"1 mg/kg",41.318149618088576,1.69333333333333,86.572,4.8
"1 mg/kg",34.33359603170923,1.57166666666667,88.947,4.9
"1 mg/kg",53.20386435331233,2.55333333333333,86.77,4.8
"1 mg/kg",29.030198608534835,2.38333333333333,51.257,2.9
"1 mg/kg",45.62277580071168,3.81166666666667,80.461,4.6
"1 mg/kg",71.38124071746824,6.79,42.346,2.4
"1 mg/kg",26.164910361131305,4.655,110.617,6.7
"1 mg/kg",71.50449482670888,9.07333333333333,27.333,1.5
"1 mg/kg",26.235412764731397,7.02166666666667,59.903,3.3
"1 mg/kg",25.556815516398224,0.495,78.968,4.5
"5 mg/kg",11.504811898512605,1.31833333333333,99.108,5.5
"5 mg/kg",5.870343920824449,7.06666666666667,34.67,2.3
"5 mg/kg",32.30600575535984,2.95833333333333,61.62,3.4
"5 mg/kg",31.53674832962136,0.988333333333333,97.683,5.4
"5 mg/kg",16.90591419899926,1.09833333333333,83.833,4.7
"5 mg/kg",30.42276422764231,0.468333333333333,89.242,5.0
"5 mg/kg",12.30840675039399,5.76166666666667,74.573,4.1
"5 mg/kg",48.62385321100918,0.935,127.832,7.1
"5 mg/kg",68.77876367568227,3.13166666666667,55.32,3.2
"5 mg/kg",32.28032920902355,6.04333333333333,33.707,1.9
"5 mg/kg",26.762400265893447,2.81333333333333,71.316,4.0
"5 mg/kg",43.2084652815324,7.27833333333333,36.024,2.0
"5 mg/kg",39.45181416230793,6.51833333333333,37.297,2.2
"5 mg/kg",25.64735877619322,4.51,74.622,4.1
"5 mg/kg",41.81872794172862,0.825,114.985,6.4
