ID,Baseline,Test,Bites - 1st exposure,Bites - 2nd exposure,Cleaning - 1st exposure,Cleaning - 2nd exposure,Massage - 1st exposure,Massage - 2nd exposure,Chase - 1st exposure,Chase - 2nd exposure,Jolt - 1st exposure,Jolt - 2nd exposure
ID1R1-azul,35.9111111111111,5.82222222222222,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ID10R19-verde,48.2737010027347,86.2,0,0,13.1,0.3,4.299,0.0,0.0,0.0,0,0
ID11R17-vermelho,25.2555555555556,43.2444444444445,0,0,57.399,29.9,0.0,3.8,0.0,0.0,0,0
ID13R12-bluered,27.4666666666667,17.314174206138,0,0,3.7,13.299,21.99,2.5,0.0,0.0,0,0
ID14R20-azul,47.4944444444445,90.5388888888889,0,0,84.993,76.296,19.3,13.4,0.0,0.0,0,0
ID15R18-vermelho,18.1333333333333,62.6111111111111,0,0,0.0,5.799,1.8,7.4,0.0,0.0,0,0
ID16R16-rosa,4.06111111111111,46.2055555555556,0,0,20.399,25.9,34.299,6.9,0.0,0.0,0,0
ID2R9-verde,37.1444444444444,67.8611111111111,0,0,20.698,7.499,5.2,0.0,0.0,0.0,0,0
ID3R7-rosa,40.9722222222222,68.1017257039055,1,1,4.498,2.399,5.6,2.1,20.799,0.0,0,0
ID4R5-vermelho,50.7722222222222,42.45,1,1,4.196,10.498,15.899,0.0,0.0,3.2,1,0
ID5R2-azul,35.6410792721188,82.8666666666667,0,0,80.391,70.398,21.3,15.4,0.0,0.0,0,0
ID6R10-verde,18.6888888888889,41.0611111111111,0,0,45.098,0.6,12.899,2.0,0.0,0.0,0,0
ID7R8-vermelho,45.1623740201568,42.6444444444444,0,0,3.6,13.999,2.8,11.9,0.0,0.0,0,0
ID8R6-rosa,23.5543648135745,29.203597925284,0,0,0.8,0.0,0.0,0.0,0.0,0.0,0,0
ID9R21-azul,49.4041234656179,39.4722222222222,5,1,0.0,0.0,2.199,10.599,8.4,2.299,0,0
